,photo_name,code_folder,metadata,sentence
280,QD-2017-DSC95394.JPG,t045+t046+t047+t048+t049,"[['t045', 'Temple Ruin 1', 'Temple Ruin', '34.039394', '77.684109'], ['t046', 'Temple Ruin 2', 'Temple Ruin', '34.039114', '77.684382'], ['t047', 'Temple Ruin 3', 'Temple Ruin', '34.038895', '77.684785'], ['t048', 'Temple Ruin 4', 'Temple Ruin', '34.038763', '77.684847'], ['t049', 'Temple Ruin 5', 'Temple Ruin', '34.038496', '77.684463']]","This is a picture of 5 heritage sites in Ladakh. The sites are : Temple Ruin 1 (code: t045, type: Temple Ruin, coordinates : 34.039394°N 77.684109°E), Temple Ruin 2 (code: t046, type: Temple Ruin, coordinates : 34.039114°N 77.684382°E), Temple Ruin 3 (code: t047, type: Temple Ruin, coordinates : 34.038895°N 77.684785°E), Temple Ruin 4 (code: t048, type: Temple Ruin, coordinates : 34.038763°N 77.684847°E), Temple Ruin 5 (code: t049, type: Temple Ruin, coordinates : 34.038496°N 77.684463°E). More information: ladakharcheology.com"
281,QD-2017-DSC95395.JPG,t045+t046+t047+t048+t049,"[['t045', 'Temple Ruin 1', 'Temple Ruin', '34.039394', '77.684109'], ['t046', 'Temple Ruin 2', 'Temple Ruin', '34.039114', '77.684382'], ['t047', 'Temple Ruin 3', 'Temple Ruin', '34.038895', '77.684785'], ['t048', 'Temple Ruin 4', 'Temple Ruin', '34.038763', '77.684847'], ['t049', 'Temple Ruin 5', 'Temple Ruin', '34.038496', '77.684463']]","This is a picture of 5 heritage sites in Ladakh. The sites are : Temple Ruin 1 (code: t045, type: Temple Ruin, coordinates : 34.039394°N 77.684109°E), Temple Ruin 2 (code: t046, type: Temple Ruin, coordinates : 34.039114°N 77.684382°E), Temple Ruin 3 (code: t047, type: Temple Ruin, coordinates : 34.038895°N 77.684785°E), Temple Ruin 4 (code: t048, type: Temple Ruin, coordinates : 34.038763°N 77.684847°E), Temple Ruin 5 (code: t049, type: Temple Ruin, coordinates : 34.038496°N 77.684463°E). More information: ladakharcheology.com"
282,QD-2017-DSC95396.JPG,t045,"[['t045', 'Temple Ruin 1', 'Temple Ruin', '34.039394', '77.684109']]","This is a picture of a heritage site in Ladakh. The site is : Temple Ruin 1 (code: t045, type: Temple Ruin, coordinates : 34.039394°N 77.684109°E). More information: ladakharcheology.com"
283,QD-2017-DSC95397.JPG,t045,"[['t045', 'Temple Ruin 1', 'Temple Ruin', '34.039394', '77.684109']]","This is a picture of a heritage site in Ladakh. The site is : Temple Ruin 1 (code: t045, type: Temple Ruin, coordinates : 34.039394°N 77.684109°E). More information: ladakharcheology.com"
284,QD-2017-DSC95400.JPG,t045,"[['t045', 'Temple Ruin 1', 'Temple Ruin', '34.039394', '77.684109']]","This is a picture of a heritage site in Ladakh. The site is : Temple Ruin 1 (code: t045, type: Temple Ruin, coordinates : 34.039394°N 77.684109°E). More information: ladakharcheology.com"
285,QD-2017-DSC95403.JPG,t045+t046+t047+t048+t049,"[['t045', 'Temple Ruin 1', 'Temple Ruin', '34.039394', '77.684109'], ['t046', 'Temple Ruin 2', 'Temple Ruin', '34.039114', '77.684382'], ['t047', 'Temple Ruin 3', 'Temple Ruin', '34.038895', '77.684785'], ['t048', 'Temple Ruin 4', 'Temple Ruin', '34.038763', '77.684847'], ['t049', 'Temple Ruin 5', 'Temple Ruin', '34.038496', '77.684463']]","This is a picture of 5 heritage sites in Ladakh. The sites are : Temple Ruin 1 (code: t045, type: Temple Ruin, coordinates : 34.039394°N 77.684109°E), Temple Ruin 2 (code: t046, type: Temple Ruin, coordinates : 34.039114°N 77.684382°E), Temple Ruin 3 (code: t047, type: Temple Ruin, coordinates : 34.038895°N 77.684785°E), Temple Ruin 4 (code: t048, type: Temple Ruin, coordinates : 34.038763°N 77.684847°E), Temple Ruin 5 (code: t049, type: Temple Ruin, coordinates : 34.038496°N 77.684463°E). More information: ladakharcheology.com"
286,QD-2017-DSC95404.JPG,t045,"[['t045', 'Temple Ruin 1', 'Temple Ruin', '34.039394', '77.684109']]","This is a picture of a heritage site in Ladakh. The site is : Temple Ruin 1 (code: t045, type: Temple Ruin, coordinates : 34.039394°N 77.684109°E). More information: ladakharcheology.com"
287,QD-2017-DSC95406.JPG,t046,"[['t046', 'Temple Ruin 2', 'Temple Ruin', '34.039114', '77.684382']]","This is a picture of a heritage site in Ladakh. The site is : Temple Ruin 2 (code: t046, type: Temple Ruin, coordinates : 34.039114°N 77.684382°E). More information: ladakharcheology.com"
288,QD-2017-DSC95407.JPG,t047,"[['t047', 'Temple Ruin 3', 'Temple Ruin', '34.038895', '77.684785']]","This is a picture of a heritage site in Ladakh. The site is : Temple Ruin 3 (code: t047, type: Temple Ruin, coordinates : 34.038895°N 77.684785°E). More information: ladakharcheology.com"
289,QD-2017-DSC95410.JPG,t045+t046+t047+t048+t049,"[['t045', 'Temple Ruin 1', 'Temple Ruin', '34.039394', '77.684109'], ['t046', 'Temple Ruin 2', 'Temple Ruin', '34.039114', '77.684382'], ['t047', 'Temple Ruin 3', 'Temple Ruin', '34.038895', '77.684785'], ['t048', 'Temple Ruin 4', 'Temple Ruin', '34.038763', '77.684847'], ['t049', 'Temple Ruin 5', 'Temple Ruin', '34.038496', '77.684463']]","This is a picture of 5 heritage sites in Ladakh. The sites are : Temple Ruin 1 (code: t045, type: Temple Ruin, coordinates : 34.039394°N 77.684109°E), Temple Ruin 2 (code: t046, type: Temple Ruin, coordinates : 34.039114°N 77.684382°E), Temple Ruin 3 (code: t047, type: Temple Ruin, coordinates : 34.038895°N 77.684785°E), Temple Ruin 4 (code: t048, type: Temple Ruin, coordinates : 34.038763°N 77.684847°E), Temple Ruin 5 (code: t049, type: Temple Ruin, coordinates : 34.038496°N 77.684463°E). More information: ladakharcheology.com"
